,OTU,environmental_category,dsrab_type,supercluster,level1_taxon,level2_taxon,level3_taxon
0,"Pyrobaculum_aerophilum_str._IM2,_copy_1__PrbAero3",Thermophilic,Reductive archaeal type DsrAB,, Crenarchaeota, Thermoprotei, Pyrobaculum
1,"Pyrobaculum_aerophilum_str._IM2,_copy_2__PrbAero4",Thermophilic,Reductive archaeal type DsrAB,, Crenarchaeota, Thermoprotei, Pyrobaculum
2,"Uncultured_SRB,_a70__UnculSR5",Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
3,"Uncultured_SRB,_A73__UnculSR6",Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Unclassified
4,"Uncultured_SRB,_a75__UnculSR7",Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
5,Sargasso_Sea_shotgun_clone__Z39SaS21,Marine,Oxidative bacterial type DsrAB,, Proteobacteria, Gammaproteobacteria, Gammaproteobacteria
6,Sargasso_Sea_shotgun_clone__Z39SaS22,Marine,Oxidative bacterial type DsrAB,, Proteobacteria, Gammaproteobacteria, Gammaproteobacteria
7,Sargasso_Sea_shotgun_clone__Z39SaS23,Marine,Oxidative bacterial type DsrAB,, Proteobacteria, Gammaproteobacteria, Gammaproteobacteria
8,Sargasso_Sea_shotgun_clone__Z39SaS25,Marine,Oxidative bacterial type DsrAB,, Proteobacteria, Gammaproteobacteria, Gammaproteobacteria
9,Sargasso_Sea_shotgun_clone__Z39SaS26,Marine,Oxidative bacterial type DsrAB,, Proteobacteria, Gammaproteobacteria, Gammaproteobacteria
10,uncultured_sulfate-reducer_HMS-11__UncSu157,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
11,uncultured_sulfate-reducer_HMS-33__UncSu165,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
12,Desulfomicrobium_apsheronum__DscApsh6,Unknown/Misc,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfomicrobiaceae
13,Desulfomicrobium_baculatum__DscBacu5,Unknown/Misc,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfomicrobiaceae
