"","Var1","Freq","logFreq"
"1","Anaerobic_bacterium_EtOH8__Bv2EtOH2",1,1
"2","Anaerobic_bacterium_sk.prop8__Bv2Prop2",362,8.50382573799575
"3","Archaeoglobus_sulfaticallidus__ArgSulfa",15,4
"4","Arctic_sediment_clone_AH5_5__AtcSed67",2,1.58496250072116
"5","Bilophila_sp._4_1_30__BilSpec3",582,9.1873520732005
"6","Bilophila_wadsworthia__BilWads6",1448,10.5008418795569
"7","Bioreactor_clone__UncS2028",1,1
"8","Bioreactor_clone__UncS2029",1,1
"9","Candidatus_Desulfovibrio_trichonymphae",3,2
"10","Deep_sea_sediment_clone__JN798931",2,1.58496250072116
"11","Desulfitibacter_alkalitolerans__DfiAlka2",356,8.4797802640291
"12","Desulfitobacterium_hafniense_Y51__DsfHaf15",2,1.58496250072116
"13","Desulfitobacterium_sp._PCE-1__DstSpe13",4,2.32192809488736
"14","Desulfosporosinus_youngiae__DfpYoun5",2,1.58496250072116
"15","Desulfovibrio_carbinoliphilus__JQ031012",2,1.58496250072116
"16","Desulfovibrio_desulfuricans__DQ092635",5,2.58496250072116
"17","Desulfovibrio_desulfuricans__DslDes16_DsvAlas8",1,1
"18","Desulfovibrio_desulfuricans__DslDes17",11,3.58496250072116
"19","Desulfovibrio_desulfuricans__DslDes24",1,1
"20","Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358",24,4.64385618977472
"21","Desulfovibrio_piger__DslPige2",27,4.8073549220576
"22","Desulfovibrio_piger__DslPige3",138,7.11894107272351
"23","Desulfovibrio_piger__DslPige4",40,5.35755200461808
"24","Desulfovibrio_simplex__DslSimpl",2,1.58496250072116
"25","Desulfovibrio_sp._3_1_syn3__DsvSp230",56,5.83289001416474
"26","Desulfovibrio_sp._6_1_46AFAA__DsvSp231",81,6.35755200461808
"27","Desulfovibrio_sp._Dsv1__DsvSp233",31,5
"28","Desulfovibrio_vulgaris__DQ826729",109,6.78135971352466
"29","Gordonibacter_pamelaeae__GrdPame5",174,7.45121111183233
"30","Gordonibacter_pamelaeae_7-10-1-b__FP929047",32,5.04439411935845
"31","Moorella_thermoacetica_Y72_copy_2__MooTher5",157,7.3037807481771
"32","MSW_digester_clone__Unc01cxc",22,4.52356195605701
"33","Pearl_river_estuary_clone_TopDSR14__UncS2036",2,1.58496250072116
"34","Polluted_aquifer_clone__UncS1623",1,1
"35","Polluted_aquifer_clone_LGWK16__UncS1633",2,1.58496250072116
