,hit_id,ref_id
0,OWXA01.5389.1_1/97-239,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
1,UPFD01.8591.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
2,UPFD01.8591.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
3,OYMM01.161.1_3/65-438,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
4,OYMM01.161.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
5,OPSF01.12557.1_1/64-428,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
6,OYXC01.9658.1_1/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
7,UPMM01.15656.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
8,OZKV01.8779.1_1/64-430,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
9,OWQQ01.8304.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
10,UYDM01.8511.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
11,UXRB01.19263.1_2/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
12,UPMR01.3615.1_10/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
13,UPMR01.3615.1_4/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
14,UPMR01.3615.1_3/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
15,UPMR01.3615.1_9/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
16,OWSK01.6388.1_2/63-436,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
17,OWSK01.6388.1_1/11-264,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
18,UYDJ01.9802.1_4/11-266,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
19,OUOT01.25188.1_1/1-370,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']"
