,hit_id,sample_id,subject_id,leaf_id,ref_id
0,OYVD01.1117.1_2/1-80,SAMN06165452,14952019,,
1,UEPQ01.62.1_13/64-437,SAMN06115483,,S9,Bilophila_wadsworthia__BilWads6
2,UEPQ01.62.1_14/11-266,SAMN06115483,,S63,Bilophila_wadsworthia__BilWads6
3,OQDE01.41009.1_2/1-77,SAMD00036307,,,
4,OWXA01.5389.1_2/11-266,SAMN05827029,P016497,S127,uncultured_bacterium__EF645667
5,OWXA01.5389.1_1/97-239,SAMN05827029,P016497,S128,Desulfovibrio_piger__DslPige3
6,OYPH01.2748.1_1/63-178,SAMN06165653,50694555,,
7,UPFD01.8591.1_2/63-436,SAMEA2737666,D124_G,S135,Desulfovibrio_piger__DslPige3
8,UPFD01.8591.1_3/11-266,SAMEA2737666,D124_G,S136,Desulfovibrio_piger__DslPige3
9,UPMZ01.5950.1_5/51-395,SAMEA2737808,,S137,Gordonibacter_pamelaeae_7-10-1-b__FP929047
10,UPMZ01.5950.1_6/3-237,SAMEA2737808,,S138,Gordonibacter_pamelaeae__GrdPame5
11,UPMZ01.79208.1_1/11-136,SAMEA2737808,,,
12,UPMZ01.44144.1_1/64-137,SAMEA2737808,,,
13,ORSC01.82376.1_1/1-172,SAMEA2338681,,,
14,OYMM01.161.1_3/65-438,SAMN06165493,17437941,S235,Desulfovibrio_piger__DslPige3
15,OYMM01.161.1_2/11-266,SAMN06165493,17437941,S236,Desulfovibrio_piger__DslPige3
16,OYMM01.4356.1_1/53-210,SAMN06165493,17437941,,
17,OYMM01.4732.1_1/11-160,SAMN06165493,17437941,,
18,UEYD01.35306.1_1/33-281,SAMN06115506,,,
19,OPSF01.12557.1_1/64-428,SAMEA2042111,,S237,Desulfovibrio_piger__DslPige3
20,QWCE01.3417.1_7/64-437,SAMN09866716,,S9,Bilophila_wadsworthia__BilWads6
21,QWCE01.34300.1_2/44-392,SAMN09866716,,S238,Anaerobic_bacterium_sk.prop8__Bv2Prop2
22,QWCE01.3417.1_6/11-266,SAMN09866716,,S63,Bilophila_wadsworthia__BilWads6
23,QWCE01.148739.1_1/3-193,SAMN09866716,,S239,Gordonibacter_pamelaeae__GrdPame5
24,QWCE01.143185.1_1/1-188,SAMN09866716,,S240,Gordonibacter_pamelaeae__GrdPame5
25,QWCE01.34300.1_3/4-136,SAMN09866716,,S241,Thermodesulfobium_narugense__CP002690
26,OWCY01.6912.1_3/63-436,SAMEA3708620,,S242,Desulfovibrio_piger__DslPige2
27,OWCY01.6912.1_2/11-266,SAMEA3708620,,S243,Desulfovibrio_piger__DslPige3
28,OWCY01.44532.1_1/11-266,SAMEA3708620,,S63,Bilophila_wadsworthia__BilWads6
29,ORRJ01.13417.1_2/63-436,SAMEA2338649,,S244,Desulfovibrio_piger__DslPige3
30,ORRJ01.22585.1_1/1-245,SAMEA2338649,,S245,Bilophila_wadsworthia__BilWads6
31,UERO01.20183.1_1/64-437,SAMN06115397,,S9,Bilophila_wadsworthia__BilWads6
32,UERO01.11922.1_1/1-118,SAMN06115397,,S246,Bilophila_wadsworthia__BilWads6
33,UERO01.20183.1_2/11-91,SAMN06115397,,S247,Bilophila_wadsworthia__BilWads6
34,OPAP01.30399.1_1/1-90,SAMEA1967055,,,
35,OURY01.49778.1_1/1-252,SAMEA2338638,,S312,Anaerobic_bacterium_sk.prop8__Bv2Prop2
36,OYXC01.9658.1_1/11-266,SAMN06165016,40006207,S248,Desulfovibrio_piger__DslPige3
37,OYXC01.9658.1_2/1-228,SAMN06165016,40006207,,
38,USZA01.13236.1_3/38-305,SAMN06112073,,S317,Bilophila_wadsworthia__BilWads6
39,USZA01.18536.1_1/63-204,SAMN06112073,,,
40,USZA01.41154.1_2/6-173,SAMN06112073,,S344,Desulfitibacter_alkalitolerans__DfiAlka2
41,USZA01.16685.1_1/1-148,SAMN06112073,,,
42,USZA01.41154.1_1/3-156,SAMN06112073,,,
43,USZA01.130730.1_2/1-109,SAMN06112073,,S350,Anaerobic_bacterium_sk.prop8__Bv2Prop2
44,UZLQ01.611.1_10/64-437,SAMN00715227,,S9,Bilophila_wadsworthia__BilWads6
45,UZLQ01.611.1_9/1-253,SAMN00715227,,S63,Bilophila_wadsworthia__BilWads6
46,UPRH01.19723.1_1/11-266,SAMEA2737760,,S63,Bilophila_wadsworthia__BilWads6
47,UPMW01.3186.1_8/63-436,SAMEA2737879,C22,S351,uncultured_bacterium__EF645667
48,UPMW01.3186.1_7/11-266,SAMEA2737879,C22,S352,uncultured_bacterium__EF645667
49,OYQB01.459.1_1/46-393,SAMN06165467,16485541,S232,Anaerobic_bacterium_sk.prop8__Bv2Prop2
50,OYQB01.459.1_2/7-240,SAMN06165467,16485541,S353,Desulfitibacter_alkalitolerans__DfiAlka2
51,OYQB01.5101.1_1/1-213,SAMN06165467,16485541,,
52,CAAELL01.26.1_14/62-435,SAMEA5280031,SRP056480|IT8,S362,uncultured_bacterium__EF645667
53,CAAELL01.26.1_13/11-266,SAMEA5280031,SRP056480|IT8,S363,uncultured_bacterium__EF645667
54,UPMM01.15656.1_2/63-436,SAMEA2737839,,S364,Desulfovibrio_piger__DslPige3
55,UPMM01.15656.1_1/11-112,SAMEA2737839,,S16,Bilophila_wadsworthia__BilWads6
56,ORIF01.8853.1_1/63-390,SAMN04329858,,,
